iter	Passed	Remaining
0	171	171431
1	174	87087
2	177	58971
3	180	44942
4	183	36608
5	186	30969
6	189	26947
7	192	23885
8	195	21568
9	199	19708
10	201	18117
11	202	16694
12	203	15487
13	205	14453
14	206	13563
15	207	12778
16	209	12117
17	211	11534
18	212	10982
19	213	10481
20	215	10036
21	216	9631
22	217	9259
23	219	8914
24	220	8598
25	221	8306
26	223	8045
27	224	7803
28	226	7574
29	227	7362
30	229	7165
31	230	6980
32	232	6802
33	233	6632
34	234	6471
35	235	6318
36	237	6173
37	238	6043
38	240	5922
39	241	5807
40	243	5690
41	244	5581
42	245	5474
43	247	5371
44	248	5272
45	249	5178
46	250	5088
47	252	5002
48	253	4927
49	255	4853
50	256	4781
51	258	4709
52	259	4638
53	260	4569
54	262	4502
55	263	4438
56	264	4375
57	265	4316
58	267	4258
59	268	4207
60	270	4157
61	271	4109
62	272	4059
63	274	4010
64	275	3963
65	276	3917
66	278	3872
67	279	3828
68	280	3786
69	281	3744
70	283	3710
71	285	3674
72	286	3637
73	287	3600
74	289	3564
75	290	3528
76	291	3493
77	292	3459
78	293	3425
79	295	3393
80	296	3362
81	297	3332
82	298	3297
83	300	3273
84	301	3249
85	303	3221
86	304	3194
87	305	3168
88	306	3142
89	308	3117
90	309	3092
91	310	3067
92	312	3043
93	313	3021
94	314	3000
95	316	2979
96	317	2958
97	319	2938
98	320	2919
99	322	2899
100	323	2879
101	324	2860
102	326	2840
103	327	2821
104	329	2805
105	330	2789
106	332	2771
107	333	2753
108	334	2735
109	335	2717
110	337	2699
111	338	2682
112	339	2665
113	340	2649
114	342	2632
115	344	2622
116	345	2607
117	346	2592
118	348	2577
119	349	2562
120	350	2548
121	351	2531
122	353	2517
123	354	2502
124	355	2488
125	356	2474
126	357	2460
127	359	2448
128	361	2438
129	362	2425
130	363	2412
131	365	2400
132	366	2387
133	367	2375
134	368	2363
135	370	2351
136	371	2339
137	373	2332
138	375	2324
139	376	2315
140	378	2305
141	379	2292
142	381	2284
143	383	2276
144	384	2269
145	386	2262
146	388	2253
147	390	2245
148	391	2236
149	392	2226
150	394	2216
151	395	2206
152	396	2196
153	397	2186
154	399	2176
155	400	2167
156	402	2158
157	403	2151
158	405	2143
159	406	2135
160	407	2124
161	409	2116
162	410	2108
163	412	2101
164	413	2092
165	414	2084
166	416	2075
167	417	2067
168	419	2061
169	420	2054
170	421	2045
171	423	2037
172	424	2029
173	425	2020
174	426	2012
175	428	2004
176	429	1997
177	430	1989
178	432	1983
179	434	1977
180	435	1970
181	436	1963
182	438	1956
183	439	1948
184	440	1941
185	441	1933
186	443	1927
187	444	1920
188	445	1913
189	447	1906
190	448	1900
191	450	1895
192	451	1888
193	452	1881
194	454	1875
195	455	1868
196	456	1861
197	458	1855
198	459	1848
199	460	1841
200	461	1835
201	463	1830
202	465	1825
203	466	1819
204	467	1813
205	468	1806
206	469	1800
207	471	1794
208	473	1790
209	474	1786
210	476	1782
211	478	1780
212	481	1779
213	486	1785
214	490	1789
215	494	1796
216	498	1798
217	501	1797
218	502	1793
219	504	1788
220	506	1783
221	508	1783
222	511	1780
223	512	1776
224	514	1771
225	515	1767
226	517	1762
227	518	1757
228	520	1752
229	522	1748
230	527	1756
231	529	1753
232	531	1749
233	534	1748
234	535	1743
235	537	1740
236	539	1737
237	541	1732
